county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
poweshiek county,iowa,18454,4.8,19.3,22.5,94,1.7,0.4,1.9,0.1,4.1,70.7,184200,2.2,4.9,94.6,28.2,4.9,64837,37173,31.9
ringgold county,iowa,4608,5.4,22.4,24.4,96.4,0.8,0.5,1,0.1,2.8,78.8,150300,2.4,3.9,93.4,25.2,5.8,69821,37108,8.7
sac county,iowa,9533,5.6,22.4,24.9,95.7,0.8,0.3,0.7,1.4,5.2,78,138400,2.3,5.1,92.2,21.2,5.7,70991,40261,17.1
scott county,iowa,175601,5.6,22.5,18.6,84,8.7,0.3,3.4,0.1,7.8,69.6,212500,2.4,6.3,94.2,36.2,5.2,76363,42754,381.3
shelby county,iowa,11821,5.2,22.7,23.8,94.2,1.2,2.2,0.5,0.1,5.6,75.8,156200,2.3,2,95.3,23.3,5.6,67690,38805,19.9
sioux county,iowa,36554,7.1,26.8,17.3,95.7,1,1.3,1,0.1,15.3,77.8,235600,2.7,10.4,90.6,30.4,6.4,84736,36175,46.7
story county,iowa,102498,4.2,16,13.9,86.1,3.2,0.4,8.1,0,5.4,56,243600,2.2,10.9,97.1,53.3,5.2,69006,37933,172.1
tama county,iowa,16738,5.7,23.2,21.7,86.9,1.3,7.7,0.5,0.2,12.4,76.5,139900,2.5,11.3,91.5,19.4,7.3,67955,34094,23.8
taylor county,iowa,5825,5.5,22.8,23.4,96.6,0.7,0.6,0.5,0.1,8.9,77.7,109700,2.3,5.8,92,15.5,7.1,67279,35070,11.1
union county,iowa,11955,5.1,21.8,21.5,94.9,1.7,1.2,0.7,0.1,4.7,72.1,117800,2.3,2.9,93,24.1,5.9,56813,31843,28.7
van buren county,iowa,7217,6.6,23.7,24.1,97.5,0.4,0.2,0.6,0,1.9,83.1,118800,2.5,10.2,89.3,19.4,9,60183,31538,14.9
wapello county,iowa,35681,6.3,23.6,18.8,85.6,4.6,1.6,2.2,3.7,15.1,67.4,112900,2.4,14.2,87.7,19.4,7.5,60034,33337,82.1
warren county,iowa,56343,5.7,24,17.3,95.6,1.3,0.3,1,0.1,4.2,83,252800,2.6,3,96.7,32.7,3.6,92990,43239,92.0
washington county,iowa,22631,6.2,24.3,21.1,95.8,1.3,0.4,0.6,0.1,8.4,72.2,199600,2.5,7.2,93.2,24.9,8,71339,37686,39.7
wayne county,iowa,6622,7.2,25.8,23.6,96.9,0.7,0.3,0.6,0.1,2,80.1,102300,2.5,8.4,88.4,16,8.2,59118,34623,12.4
webster county,iowa,36909,5.8,21.4,20.5,89.5,5.3,0.7,1.6,0.1,8,70.1,138500,2.2,5.4,92.3,20.5,7.7,68054,35172,51.7
winnebago county,iowa,10383,4.6,21.3,23.2,94.5,1.9,0.5,1.2,0,6.1,74.4,132300,2.2,6.1,94.7,25.1,5.3,63719,36877,26.7
winneshiek county,iowa,19723,4.9,18.6,24.8,96.4,1,0.2,1.2,0,3.2,76.4,239000,2.2,4.4,95.4,31.5,4.7,75652,40595,29.1
woodbury county,iowa,107257,6.6,25.4,16.2,83.3,6.1,3.3,3.1,1,20.5,68.4,172000,2.5,18.3,87.1,23.4,8.1,70147,34330,121.4
worth county,iowa,7307,5.4,21.3,23.6,95.9,1.1,0.5,1,0,3.8,81.2,142300,2.3,2.3,94.2,20.1,4.5,76875,38232,18.6
wright county,iowa,12729,6.6,25.8,22.5,94,1.3,1.7,0.6,0.3,22.2,74.2,109800,2.4,15,92.7,23.5,6.2,64033,37066,22.3
whitley county,indiana,"34,885",5.5,22.6,20.7,96.6,0.7,0.5,0.5,0,3.1,81.8,219400,2.44,2.3,93,23.6,6.7,78083,38313,101.9
white county,indiana,"24,833",5.6,22.8,22.6,95,1.8,0.9,0.8,0.1,12,81,175900,2.39,8.4,90.6,19.2,9.2,67303,34585,48.9
wells county,indiana,"28,798",6.2,24.5,19.7,96.2,1.3,0.3,0.6,0.1,4.5,75.6,197600,2.42,3.1,92.9,19.9,7.1,71957,36845,76.6
wayne county,indiana,"66,410",5.9,22.4,20.1,89.3,5.2,0.4,1.2,0.1,4.3,69.2,140200,2.39,5.9,87.8,20.5,9.5,55692,32895,165.7
washington county,indiana,"28,345",5.7,22.3,19.4,97.1,0.8,0.4,0.3,0,1.7,82.1,172200,2.48,1.8,87.8,14.5,8.5,64641,31007,54.9
warrick county,indiana,"66,339",5.3,22.6,19.6,92.4,2.3,0.4,2.9,0.1,2.8,82.4,242500,2.56,3.2,95.1,35.2,5.1,89844,47213,166.0
warren county,indiana,"8,451",4.3,21,22.3,96.9,0.4,0.5,0.6,0.1,2.6,82.4,182500,2.49,2.1,92.9,17.5,6,82425,39993,23.1
wabash county,indiana,"30,777",5.4,21.1,22.7,96,1.2,0.8,0.6,0,3.5,80.5,157200,2.3,2.2,91.6,23.1,7.4,66806,35845,75.1
vigo county,indiana,"106,166",5.3,20.3,17.9,87.3,7,0.4,2.3,0.1,3.4,61.7,148500,2.33,4.8,90.7,26.3,8.2,52976,30731,263.0
vermillion county,indiana,"15,516",5,21.3,20.6,96.6,0.9,0.4,0.3,0.1,1.8,75.2,113100,2.31,1.5,93.1,17.6,6.7,60200,30882,60.1
vanderburgh county,indiana,"180,387",5.8,21.5,19.1,83.8,10.6,0.3,1.5,0.4,4.2,65,184000,2.22,4.5,91.5,27.8,7.2,61648,36840,771.8
union county,indiana,"6,884",4.7,20.3,22.7,96.1,1.3,0.3,0.4,0.1,1.5,79.8,173500,2.36,2.3,87.8,18.4,6.7,76424,37741,44.0
tipton county,indiana,"15,324",5.2,20.2,23.3,95.9,1,0.5,1,0,3.5,81.4,174600,2.41,3,90.8,23.5,6.7,76156,37496,59.0
tippecanoe county,indiana,"191,650",5.2,19.9,12.9,80.7,6.8,0.4,9.3,0.1,10.7,53.4,239300,2.28,14.6,92.3,40.5,7.8,60636,33313,373.3
switzerland county,indiana,"9,988",5.8,23.4,19.7,96.7,1.2,0.4,0.4,0.1,1.5,78.5,175800,2.53,5.3,80.2,8.9,9.4,65343,31416,44.1
sullivan county,indiana,"20,768",4.9,18.3,19.9,92.7,5.1,0.4,0.3,0,2,76.4,131100,2.39,1.5,89,14.6,7.5,56204,30787,46.6
steuben county,indiana,"34,862",4.9,19.4,23.4,96.3,1.1,0.5,0.8,0.1,4.8,79.5,216200,2.37,3.5,92.5,25.6,8.1,74911,39731,111.5
starke county,indiana,"23,463",5.5,22.1,21.5,96.7,0.7,0.6,0.5,0,4.9,83,157700,2.59,3,87,12.5,9,63960,29104,75.6
spencer county,indiana,"20,192",5.1,21.3,21.7,96.6,1.2,0.4,0.5,0,3.9,81.3,185200,2.43,3.5,93.1,22,6.8,74506,36369,49.9
shelby county,indiana,"45,654",5.5,22,19.9,94.6,1.9,0.4,1.4,0.1,5.9,72.5,212400,2.41,5.5,90.9,21.9,7.7,72190,36701,109.6
scott county,indiana,"24,751",5.5,22.1,17.6,96.4,1,0.4,0.9,0.1,3.1,70.9,158400,2.45,2,85.2,12.7,7.9,56352,29061,128.1
rush county,indiana,"16,759",5.5,21.9,20.3,96.5,1.1,0.4,0.4,0,2.2,74.9,166800,2.46,3.7,91,18.6,8.4,66473,31606,41.0
ripley county,indiana,"29,214",5.8,23.2,19.5,96.8,0.6,0.4,0.8,0,2.2,76.8,222500,2.48,1.7,90.6,20.7,6.8,70573,35537,64.9
randolph county,indiana,"24,337",6,22.7,21.2,96.4,0.9,0.5,0.4,0.1,5.9,77.3,113400,2.32,5,90.9,15.1,8.2,60791,32537,54.2
putnam county,indiana,"37,804",5.1,19.8,17.8,92.5,3.8,0.4,1.4,0.1,2.5,75.4,218900,2.32,3.8,92.6,20.2,7.1,78378,34784,76.4
pulaski county,indiana,"12,421",5.4,21.9,22.5,95.9,1,0.6,0.9,0,5,74.6,156400,2.48,3.2,88.6,14.1,8.8,62792,32382,28.9
posey county,indiana,"25,067",4.9,21.2,22.3,96.2,1.3,0.3,0.7,0,1.6,82.3,222900,2.36,1.2,93,25.2,5.4,78129,40307,61.6
porter county,indiana,"175,860",4.9,20.8,19.4,90.7,5.3,0.4,1.6,0,12.3,77.7,281500,2.5,7.3,94,31.1,6.1,87972,44216,414.3
pike county,indiana,"12,116",5,21.7,21.8,96.8,0.9,0.3,0.5,0.1,1.8,86.7,154900,2.38,0.5,90.5,16,7.4,71334,35974,36.6
perry county,indiana,"19,320",4.7,20,20.6,93.8,3.4,0.5,1,0.1,1.9,75.5,163400,2.31,1.9,91.7,16.6,6.7,61151,31632,50.2
parke county,indiana,"16,508",6,22.6,21.7,95.9,2.2,0.5,0.3,0,1.7,82.4,151200,2.51,6.6,83,15.4,12.2,68485,32228,36.3
owen county,indiana,"21,851",5.1,20.3,21.9,96.4,0.8,0.4,0.7,0,1.8,81.4,172400,2.48,2.2,87.6,16.8,9.6,62464,34451,55.3
orange county,indiana,"19,824",5.8,22.7,22,95.8,1.7,0.5,0.4,0,2,78.7,158700,2.45,2.8,85.8,16.1,8.7,65873,34262,49.9
ohio county,indiana,"5,996",3.8,19.4,25.1,96.9,1,0.4,0.3,0,1.7,81.3,213100,2.27,3.2,94,17.8,7.1,70392,37188,68.9
noble county,indiana,"47,811",6.5,24.2,18.3,96,1.3,0.5,0.6,0.1,11.7,77.1,196800,2.57,15.7,83.2,18.8,11.4,71723,34118,115.5
newton county,indiana,"14,131",5.8,21.1,21,94.7,1.4,1.7,0.6,0.1,9.6,81.1,171500,2.4,5.8,90.2,15.3,10.2,75481,33933,34.4
morgan county,indiana,"73,825",5.3,21.6,19.1,95.5,1.9,0.4,0.8,0.1,2.5,82.1,237600,2.54,2.3,90.3,21.1,7.3,79429,40144,177.7
montgomery county,indiana,"38,633",5.7,22.6,19.6,95.7,1.4,0.4,0.9,0.1,6.3,80.3,171800,2.38,6.2,89.6,20.4,8.8,71479,36354,75.2
monroe county,indiana,"140,702",3.7,15.4,15.6,84.6,4.1,0.4,7.7,0.1,5.1,54,285200,2.14,11.4,94.8,49.5,6.6,65868,38653,354.1
miami county,indiana,"35,613",5,20.5,19,90.8,5.4,1,0.5,0,4,76.2,126200,2.5,3.4,88.6,16.1,7.6,61139,30463,96.2
martin county,indiana,"9,864",5.7,21.8,22.2,96.8,0.7,0.5,0.7,0,1.7,78.5,159400,2.48,1.7,89.5,13.3,8.2,68594,33135,29.2
marshall county,indiana,"46,464",6,23.8,19.5,95.9,1,0.5,0.7,0.1,12.6,76.4,204900,2.57,15.3,85.4,20.9,11.1,71808,34462,103.9
marion county,indiana,"981,628",7,24.8,13.9,61.1,30.3,0.6,4.6,0.1,14.4,56.5,224000,2.4,18.2,88.1,34.8,9.5,66346,37704,2463.9
madison county,indiana,"134,222",5.6,21.2,19.2,87.3,8.9,0.5,0.9,0.1,5.9,70.2,161300,2.37,4.8,90.8,20.5,8.1,63037,33926,287.9
lawrence county,indiana,"45,192",5.4,20.8,21.1,96.5,0.7,0.6,0.6,0,2.3,80.7,175000,2.32,1.8,89.9,20.4,7.3,66468,35064,100.2
lake county,indiana,"502,955",5.5,22.7,18.8,70.6,24.5,0.6,1.9,0.1,21.6,71.7,230600,2.54,15.1,90.2,25.8,7.4,71493,37284,999.9
laporte county,indiana,"111,348",5.1,20.8,20.5,84.5,11.4,0.5,0.7,0,8.1,74.7,195500,2.41,5.6,90.8,22.7,8.1,71055,35395,187.9
lagrange county,indiana,"41,122",8.6,31,15.5,97.8,0.6,0.3,0.4,0,4.6,83,255900,3.14,48.1,58.9,11.5,31.3,84487,34018,106.5
kosciusko county,indiana,"80,669",5.8,23.1,19.3,94.9,1.3,0.6,1.6,0.1,10,77,216000,2.47,12.8,87.9,25.1,9.9,75317,36792,151.0
knox county,indiana,"35,872",5.4,21.2,19.5,92.7,3.6,0.5,1.3,0.1,3.3,67.8,137700,2.26,4,89.5,19.1,7.2,61237,34279,70.3
johnson county,indiana,"170,614",5.9,23.9,16.3,86.4,4.1,0.4,6.9,0.1,4.8,72.7,284600,2.61,8.3,92.3,34.7,5.8,90454,43995,504.9
jennings county,indiana,"27,634",5.9,23,18.2,96.4,1,0.4,0.5,0.1,3.8,78.8,161500,2.48,3.5,87.7,14.8,7.6,69322,31235,73.3
jefferson county,indiana,"32,921",4.9,19.5,20.5,94.5,2.2,0.4,1.1,0.1,3.6,71.8,194600,2.42,3.7,90,19.8,8.5,64577,33000,91.9
jay county,indiana,"20,164",7.1,25.8,18.8,96.8,0.7,0.3,0.5,0,4.6,79.9,117500,2.56,6.9,86,13.3,8.7,54969,27634,53.3
jasper county,indiana,"33,387",5.6,22.4,19.7,96.8,0.8,0.4,0.5,0.1,8.2,83.6,221500,2.57,5.3,92.7,19.2,7,77314,36348,58.8
jackson county,indiana,"47,420",7.4,25.8,17.1,91.9,1.6,1.2,3.6,0.3,15.6,73.2,178300,2.53,12.5,87.9,20.3,8.3,70262,33080,91.0
huntington county,indiana,"36,944",5.4,21.5,19.6,95.9,1.1,0.6,0.8,0.1,3.5,77.4,161600,2.3,2.7,92.7,21.3,7.1,66301,34854,95.8
howard county,indiana,"84,082",5.6,22.7,20.6,86.3,8.3,0.5,1.4,0.1,4.6,70.6,165000,2.32,3.3,91.8,20.8,7,64027,35963,285.5
henry county,indiana,"49,081",4.8,20,20.2,94.4,3,0.3,0.5,0,2.5,76.2,154400,2.46,2.3,90.5,17.5,6.9,63150,32182,124.8
hendricks county,indiana,"190,629",5.5,24.3,15.8,79.5,13.6,0.4,3.9,0.1,5.8,78.2,307600,2.66,10.3,93.3,39.5,6.4,101144,45280,429.6
harrison county,indiana,"39,978",5.1,21.7,20.5,96.3,1,0.4,0.7,0.1,2.7,83.6,229600,2.54,2.4,92,21.7,6.6,74475,35756,81.9
hancock county,indiana,"88,810",5.7,23,17.5,90.1,5.6,0.4,1.7,0.1,4.2,79.5,274800,2.49,4,94.2,34.9,6.3,93186,47372,261.0
hamilton county,indiana,"379,704",5.6,24.4,14.9,83.8,5.6,0.3,7.9,0.1,6.1,76.1,405500,2.64,12.5,97.3,61.9,4.3,121530,60278,881.1
greene county,indiana,"31,219",5.3,21.3,20.9,97.2,0.5,0.5,0.5,0,2.3,77,153200,2.34,1.4,89.4,16.1,8.2,62094,34152,56.8
grant county,indiana,"66,458",5.4,21.4,19.9,87.1,8,0.5,1.2,0.1,6,72.7,122300,2.28,3.9,89.3,20.3,7.7,53522,29423,161.0
gibson county,indiana,"33,038",5.6,22.9,19.3,93.5,2.6,0.5,0.7,0.1,2.7,76.7,180000,2.4,2.4,90.6,18.5,6.1,67573,34681,67.7
fulton county,indiana,"20,004",5.2,22.6,21.9,95.6,1.1,1,0.7,0,5.7,80.1,156500,2.5,5.5,88.1,16.9,9.4,61360,33398,55.6
franklin county,indiana,"23,136",5.1,21.8,21.2,97.4,0.5,0.3,0.8,0,1.3,81.5,249500,2.48,2.8,90.2,19.5,7.7,78074,40060,59.3
fountain county,indiana,"16,833",6.1,22.5,20.5,96.4,1,0.4,0.5,0.1,3.4,74.6,143400,2.38,2.9,91.1,14.7,8.2,62542,32433,41.6
floyd county,indiana,"81,931",5.2,22,18.4,89.1,6,0.5,1.4,0.1,4.7,73.2,251000,2.49,3.5,92.9,32.9,6.6,79704,41658,542.0
fayette county,indiana,"23,335",5.5,21.9,20.7,96.4,1.4,0.3,0.4,0,1.8,72.1,130700,2.44,2,85.8,16,8.1,59321,30876,108.8
elkhart county,indiana,"207,436",7,26.7,16.1,89.1,6,0.8,1.3,0.1,21.1,71.6,210400,2.83,23,82.2,20.1,13,68561,32936,447.0
dubois county,indiana,"43,629",5.8,23.8,19.8,96.3,1,0.4,1.1,0.2,10.7,74.7,230100,2.44,8.4,89.4,25.7,7.5,75979,38483,102.1
delaware county,indiana,"112,951",4.7,18,18.1,87.4,7.6,0.3,1.7,0.1,3.4,66.5,139400,2.26,4,90.5,26.2,8.1,58127,31091,285.4
decatur county,indiana,"26,421",5.9,23.1,18.8,96.1,0.8,0.3,1.4,0.1,2.7,76.1,199100,2.42,2.7,90.8,20,6.7,69783,37115,71.1
dearborn county,indiana,"51,435",5.1,21.2,20.1,96.7,0.9,0.3,0.5,0.1,1.6,85.2,243400,2.49,1.6,92.7,25.3,6.6,84735,39922,166.1
dekalb county,indiana,"44,330",6.1,23.6,18.2,96.6,0.8,0.4,0.6,0.1,3.4,82.1,194100,2.53,2.5,92.9,20.2,7.7,74331,35553,119.2
daviess county,indiana,"34,097",8.1,29.9,16.4,93.7,2.8,0.9,0.5,0.1,6.7,72.4,197200,2.8,19.4,76.6,16.5,16.2,68503,30624,77.7
crawford county,indiana,"10,523",5.2,20.9,21.8,96.4,1,0.6,0.3,0.1,1.8,81.3,117700,2.27,2.5,86.1,11.4,10.1,49640,29006,34.4
clinton county,indiana,"32,895",6.6,25.9,17.2,96.3,1.1,0.6,0.6,0.1,20.4,74.2,164100,2.59,12.3,86.9,16.5,9.8,65019,30642,81.9
clay county,indiana,"26,424",5.5,22.4,20.3,96.4,1,0.4,0.4,0,2.1,80.9,153000,2.46,1.5,90.2,20.3,7,70010,40358,74.0
clark county,indiana,"127,479",5.6,21.6,17.5,85.7,9.1,0.5,1.5,0.2,7.3,74.7,222900,2.39,6.3,91.2,27.7,7,74214,38661,324.8
cass county,indiana,"37,559",6.3,23.1,19.6,91.3,3,1.4,2.1,0.2,19.5,74.3,133800,2.45,14.8,85.6,16.5,9.8,56403,29807,91.9
carroll county,indiana,"20,747",5.3,21.3,21.9,96.9,1,0.5,0.4,0,4.9,82.2,180900,2.53,3.5,89.6,17.2,8,65645,35594,54.6
brown county,indiana,"15,650",3.5,16.1,28.2,95.9,1,0.5,0.8,0,2,86.6,269100,2.28,2.4,94.2,26.4,7.4,78528,44749,49.6
boone county,indiana,"78,773",6.1,24.9,15.5,88.7,4.2,0.3,4.6,0,4.8,78.8,376200,2.58,7.2,94.9,51.7,5.3,111250,59577,167.5
blackford county,indiana,"11,816",4.9,21.9,22.7,95.6,1.1,0.4,0.6,0.1,2.7,73.9,107500,2.28,2.7,90.3,14.5,7.9,51326,31157,73.4
benton county,indiana,"8,853",6.4,24.4,18.3,95.8,1.3,0.4,0.3,0.1,7.7,79.8,151000,2.5,5.1,88.9,19.8,9.6,65875,33278,21.5
bartholomew county,indiana,"84,741",6.1,23.6,17.4,86.5,3,0.5,7.6,0.2,9.6,69.3,232800,2.47,14.6,92,34.1,7.5,79901,41608,202.0
allen county,indiana,"399,295",6.6,25,16.3,77.6,12,0.5,6.1,0.1,9.5,68.9,214900,2.47,12.4,90.3,31.6,9.3,70737,37766,586.4
adams county,indiana,"36,584",8.7,31,17.2,97.1,0.9,0.5,0.4,0,5,83.5,178400,2.88,16,88.9,16.2,12.4,65289,28631,105.7
woodford county,illinois,"38,290",5.4,23.6,19.9,96.3,1,0.3,0.8,0,2.4,85.7,197600,2.54,2.2,94.8,35.9,5.3,91483,44140,72.9
winnebago county,illinois,"283,790",6,23.3,19.2,77.8,14.7,0.7,3.2,0.1,16.6,65.9,164500,2.41,15.2,88.8,25.2,7.3,65837,35697,556.2
williamson county,illinois,"67,064",4.7,20.5,20.8,90.3,5.3,0.5,1.6,0,3.1,70.7,156400,2.23,3.3,92.8,26.2,5.6,65604,37284,159.8
will county,illinois,"708,583",5.3,22.8,15.6,76.8,13,0.5,7.4,0.1,20.6,82.8,319600,2.84,22.4,91.8,37.5,5.5,109984,47516,833.1
whiteside county,illinois,"54,657",5.3,21.9,22.7,94.4,2.1,0.6,0.8,0,13.9,76.9,127100,2.33,7.2,91.9,20.5,5.9,67500,37312,81.4
white county,illinois,"13,395",4.4,21,23.9,96.8,0.9,0.5,0.5,0.1,1.9,77.1,108100,2.34,1.6,88.9,18.3,6.4,54813,30898,28.0
wayne county,illinois,"15,928",5.6,22.3,22.4,96.2,1.5,0.3,0.9,0,3.1,78.4,110700,2.31,6.8,89.6,16.3,7.8,55521,31813,22.7
washington county,illinois,"13,535",5,20,22.8,96.5,1.4,0.2,0.5,0,1.7,84.1,155700,2.31,2,92.9,23.5,4.5,78224,40841,24.5
warren county,illinois,"16,217",5.9,22.2,21.1,91.3,3.5,0.6,2.2,0.3,11.5,75.2,105000,2.27,12,87.1,22,7.6,67385,35164,31.0
wabash county,illinois,"10,979",4.3,20.5,23.3,95.1,1.4,0.2,1.5,0.1,2.9,76.3,104900,2.3,3.1,92.8,18.6,5.1,57086,37580,50.9
vermilion county,illinois,"71,106",5.8,23.2,21,81.2,14.5,0.4,0.8,0.1,5.9,70.2,97200,2.31,3.9,91,19.2,5.8,56877,31655,82.6
union county,illinois,"16,886",4.6,20.5,23.5,94.3,2.5,0.8,0.5,0,6.2,77.4,131700,2.35,5.6,87.5,20.9,7.6,55728,31657,41.7
tazewell county,illinois,"129,821",4.9,21.2,20.6,94.8,1.9,0.4,1,0,2.9,78.4,167500,2.35,2.4,94.3,28.4,5.2,77982,41190,203.2
stephenson county,illinois,"43,088",5.1,20.8,25.1,84.4,10.3,0.4,1,0.1,6.2,70.9,134900,2.22,3.8,92.6,20.7,5.9,64043,35305,79.1
stark county,illinois,"5,272",5.9,22.3,23.3,94.8,1.7,0.8,0.7,0.1,3.7,80.1,104500,2.27,3.5,92.8,21.4,6,62878,37754,18.7
st. clair county,illinois,"251,149",5.2,22.3,18.5,64.1,30.5,0.4,1.9,0.1,5.3,68.4,180300,2.47,5,93.5,31.8,5.8,73854,38942,391.4
shelby county,illinois,"20,542",5,21,24.7,97.4,0.8,0.3,0.4,0,1.4,78.4,137100,2.3,1.9,94.9,18.3,5,72095,34820,27.7
scott county,illinois,"4,880",4.9,19.9,24.7,96.2,1,0.3,0.3,0.6,1.3,79,96400,2.39,2.2,92.4,21.5,4.8,66705,36633,19.7
schuyler county,illinois,"6,750",4.1,17.3,24.3,92.7,5.5,0.3,0.5,0,3.3,79.4,109700,2.16,3.1,92.7,19.1,7.1,65948,32939,15.8
sangamon county,illinois,"194,345",5.3,21.4,20.4,79.7,14.3,0.3,2.6,0,3.2,71.3,176300,2.25,4.8,94.1,36.6,5.5,75357,44151,226.1
saline county,illinois,"22,826",5.3,20.5,22.7,93.1,3.3,0.6,0.7,0.1,2.3,72.5,94300,2.26,2,89.7,19.6,6.5,53117,36683,62.5
rock island county,illinois,"142,731",5.6,22.4,20.9,79.5,13,0.7,3.2,0.1,14.7,69.7,150400,2.23,13.8,90.7,24.7,6.5,67159,36842,338.4
richland county,illinois,"15,362",5.1,22,21.8,96.1,1.1,0.4,0.8,0,2.2,73.8,112000,2.37,2.9,91.5,19.1,6,62455,33126,43.9
randolph county,illinois,"29,903",5,19.9,21.9,88.4,8.2,0.6,1.1,0.1,4.1,76.6,135100,2.25,3.1,87.1,15.2,6.9,68131,32715,52.4
putnam county,illinois,"5,633",4.6,18.7,26.4,96.5,0.8,0.4,0.5,0,7.1,81.5,172700,2.27,3.8,94.2,22.9,6.1,75590,40375,35.2
pulaski county,illinois,"4,879",5.2,20.4,24,65.7,29.2,1,0.5,0.1,4.1,68.2,85100,2.49,0.8,87.6,13,6.2,42463,24074,26.1
pope county,illinois,"3,703",2.5,10.6,32.2,93.3,3.2,0.9,0.6,0.1,2,86.3,143800,2.59,3,92.6,15.7,6.4,60050,31967,10.2
pike county,illinois,"14,258",5.8,22.9,22,97.1,1.1,0.3,0.4,0.1,2.3,77.7,101400,2.37,2.2,91.4,18.5,6.9,59777,32134,17.7
piatt county,illinois,"16,628",4.9,21.6,22.6,96.5,1.1,0.3,0.6,0.1,1.8,84.8,180600,2.39,2.4,96.2,32.9,4.7,94811,46739,38.0
perry county,illinois,"20,272",4.3,18.5,21,88,8.6,0.6,0.7,0.1,4,80.9,112600,2.3,2.6,85.9,13.7,6.5,62118,30897,47.4
peoria county,illinois,"179,630",6.3,23.9,18.8,71.2,19.8,0.6,4.9,0.1,6.5,67,158500,2.24,8.9,93.4,34.9,5.8,65108,40155,293.9
ogle county,illinois,"51,345",5.2,21.7,20.9,95.6,1.5,0.5,0.7,0.1,12.8,75.4,189200,2.45,8.6,91.1,24.3,5.8,82132,40038,68.3
moultrie county,illinois,"14,365",5.7,24.3,19.4,96.8,1.1,0.3,0.4,0,1.9,76,134000,2.42,10.9,85.6,19,8.8,71784,37035,43.2
morgan county,illinois,"32,618",5,19.2,21.5,89.5,6.8,0.4,0.8,0.1,3.2,72.8,130800,2.34,2.4,89.5,22.6,6.2,66306,35963,57.9
montgomery county,illinois,"27,615",4.6,19.7,22.4,94.1,3.9,0.3,0.6,0,2.3,77.4,112300,2.27,2.5,90.2,18.3,5.8,63620,33451,40.2
monroe county,illinois,"34,969",4.3,21,21.4,97.2,0.7,0.3,0.6,0,2.1,84.7,282100,2.51,2.1,96,38.7,3.4,102880,49605,90.7
mercer county,illinois,"15,292",4.7,20.6,22.8,96.7,1,0.3,0.5,0,3.8,83.8,146700,2.33,2.8,93.9,20.9,5.4,74182,39391,28.0
menard county,illinois,"11,963",5.5,21.4,21.8,96.1,1.2,0.3,0.5,0,2,79.5,185500,2.29,1.4,95,28.3,4.9,82176,41446,39.1
mclean county,illinois,"172,069",5.1,20.7,15.4,81.6,9.4,0.4,5.7,0.1,6.9,65.1,208400,2.31,9.7,95.9,47.2,5.4,79905,43372,144.5
mchenry county,illinois,"315,959",5.2,22.1,17.8,91.7,2.2,0.6,3.6,0.1,17,82.7,308100,2.64,16.1,93.7,35.2,5.3,104802,49388,514.1
mcdonough county,illinois,"26,662",5,18.5,19.7,88.3,6.2,0.5,2.7,0,3.6,63.5,107500,2.05,4.8,94.2,31.4,5.6,52795,32219,46.2
massac county,illinois,"13,627",4.7,20.1,22.9,89.3,6.6,0.7,0.6,0,3,76.4,121900,2.49,2.5,90.7,17,6.9,65116,32040,59.7
mason county,illinois,"12,543",4.9,20.3,23.5,96.3,0.9,0.5,0.8,0,2,81.8,103400,2.17,2.2,93,17.1,6.3,62845,34815,24.3
marshall county,illinois,"11,552",4.9,20.2,24.9,96,1.2,0.5,0.6,0,4.1,79.2,142800,2.23,2.9,91.5,18,5.8,71585,37407,30.4
marion county,illinois,"36,437",5.9,23.2,20.8,92,4.6,0.5,0.6,0,2.3,74.7,103000,2.33,2.5,90.7,16.8,6.8,61240,32825,65.9
madison county,illinois,"263,017",4.9,20.8,19.6,86,9.8,0.4,1.2,0.1,4.6,74.2,173000,2.35,3.6,93.9,31,5.4,75793,41560,371.6
macoupin county,illinois,"43,895",4.9,20.2,22.6,96.2,1.4,0.4,0.5,0,1.5,78.5,138200,2.47,1.4,91.4,20.3,6.3,70805,37136,52.1
macon county,illinois,"100,737",5.9,22.6,21.9,75.4,18.9,0.3,1.5,0,3.1,70.2,127300,2.27,4.1,93.1,24.4,5,62666,36605,179.1
logan county,illinois,"27,518",4.4,19,20.3,89,7.7,0.4,0.8,0,3.8,68.5,134400,2.16,3,92.7,20.9,5,66358,35126,45.3
livingston county,illinois,"35,375",5.4,21.7,21,92.6,4.1,0.6,0.7,0,6.4,74.3,142200,2.29,4,88.6,19,6.3,73790,37327,34.3
lee county,illinois,"33,544",4.4,19,22.6,90.8,5.8,0.5,1,0.1,8.4,73.6,154600,2.34,4.6,91.2,19.4,5.7,70292,35945,47.1
lawrence county,illinois,"14,801",4,18,19.3,87,10.4,0.6,0.7,0,4,71.8,99100,2.48,3,87,14.9,6.7,55324,31637,41.1
lake county,illinois,"718,604",5.1,22.6,16.9,78.9,7.6,1.1,10,0.1,25.7,74.8,345700,2.69,31.4,90.6,47.7,6.9,110416,57153,1610.3
