county,state,population_2024,age_under5,age_under18,age_65andover,race_white,race_black,race_americanindianoralaskanative,race_asian,race_nativehawaiianorpacificislander,race_hispanicorlatino,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_hsorhigher (25+),education_bachelorsorhigher (25+),without_insuranceunder65,income_household (2024 dollars),income_percapita (2024 dollars),population_density (square mile 2020)
windsor county,vermont,"57,697",3.9,17.1,26.9,95.3,1.2,0.3,1.3,0,2.4,74.8,296400,2.26,4,94.9,42.9,4.9,77594,48626,59.6
windham county,vermont,"45,627",3.5,16.3,27.2,94,1.8,0.3,1.5,0.1,3.3,73.9,279600,2.23,3.7,95.3,44,5.2,72217,45078,58.4
washington county,vermont,"59,844",3.9,17.3,23,95.1,1.1,0.3,1.1,0,2.9,73.7,315000,2.26,4,96.4,48.1,4.1,83449,47977,87.1
rutland county,vermont,"60,198",4.1,17.1,26.2,96.1,1,0.3,0.8,0,2.4,75.1,229400,2.31,4.2,94.2,35.3,4.9,68616,40823,65.2
orleans county,vermont,"27,726",4.8,19.1,24.6,95.5,1.1,0.7,0.6,0,2.1,79.7,223400,2.22,5.9,92.2,30.5,5.2,70103,40041,39.4
orange county,vermont,"30,050",4.2,17.5,25,96.4,0.9,0.5,0.6,0,2,83.2,271300,2.29,2.6,94.8,38.4,5.3,82232,43536,42.6
lamoille county,vermont,"26,248",4.5,19.4,20,95.2,1.6,0.4,1,0.1,2.6,72.9,304700,2.14,4.9,93.7,44.3,5.6,74908,47511,56.1
grand isle county,vermont,"7,528",4.2,16.8,25.8,93.5,0.9,1.4,0.7,0.1,2.5,89.9,394100,2.37,4.2,95.8,44,4.3,97396,56447,89.2
franklin county,vermont,"51,066",5.5,21.2,19,94.6,0.9,0.9,1,0,2.2,77.4,306700,2.51,3.1,93.4,30.2,4.3,81313,40206,79.2
essex county,vermont,"6,037",3.5,16.6,29.6,95.5,0.8,0.6,0.8,0,1.8,82.4,172500,2.1,6.5,89.7,21.5,5.4,59294,36657,8.9
chittenden county,vermont,"170,851",4.1,16.6,18.1,88.2,3.2,0.3,5.5,0,2.9,63.9,439200,2.23,9.2,96.1,56.8,4,96759,52322,313.3
caledonia county,vermont,"30,535",4.1,17.7,24,95.3,1.1,0.5,1.2,0,2.2,79.2,227900,2.26,4.5,93.7,33.2,4.7,69970,40336,46.6
bennington county,vermont,"37,039",3.9,17.8,25.9,94.6,1.5,0.4,1.6,0,2.9,73.7,279900,2.42,3.7,94.4,41.8,5.1,73325,46487,55.3
addison county,vermont,"38,047",3.7,15.6,24.2,93.6,1.7,0.3,2.1,0,3.4,79.3,361200,2.3,6.4,95.5,43.6,4.7,89639,44917,48.8
beaver county,utah,7424,7.3,28.7,16.5,93.6,1.2,1.9,0.8,0.4,14.9,82.4,287600,2.9,11.5,93.4,22.7,12.2,85603,29979,2.7
box elder county,utah,64120,6.9,29.3,13.3,94.9,0.8,1.1,0.8,0.3,10.9,75.7,357400,3.1,7.4,92.6,26.7,8.2,77865,31738,10.0
cache county,utah,145487,7.1,28.1,10.3,91.7,1.3,1,2.7,0.7,12.1,63.6,392800,3.1,11.3,94,40.4,9,78292,32080,114.3
carbon county,utah,20613,5.6,24.5,19.7,94.1,0.7,1.8,0.7,0.4,13.5,68.1,200700,2.5,5.7,91.8,18.4,8.7,53673,28462,13.8
daggett county,utah,956,4.1,21,28.2,93.3,0.1,1.8,0.5,0.1,6.3,82.8,242100,2.7,2.2,91.4,11.6,8.4,58750,29882,1.3
davis county,utah,378470,6.5,28.6,11.7,90.6,1.6,0.9,2.6,1,12.6,77.4,470500,3.2,10.5,96,38.7,6.7,108058,41451,1212.7
duchesne county,utah,20803,7.2,31,14,90.6,0.6,4.6,0.6,0.4,8.4,79.3,253600,2.9,6,90.6,17,11.3,74738,30966,6.1
emery county,utah,10161,6.4,27,18.5,95.4,0.5,1.3,0.6,0.1,7.9,79.6,197100,2.9,6.3,93.2,17.2,10,69956,29645,2.2
garfield county,utah,5290,5,21.1,24.5,92.6,0.9,2.7,1,0.4,8.1,73.5,285800,2.4,6.9,95.1,32,9.1,61688,31935,1.0
grand county,utah,9788,4.9,20.2,21,87.4,1,5.3,3.4,0.2,14,69.8,480900,2.1,10.7,94.3,34.7,11.6,62521,41443,2.6
iron county,utah,65936,6.2,25.8,14.5,92.4,1,2.3,1.3,0.5,11.2,67.4,342900,3,8,93.2,30.3,10.4,65527,28886,17.4
juab county,utah,13297,8.3,32.6,12.2,95.2,0.7,1.2,0.5,0.3,6.1,81,369800,3.2,3.6,92.5,20.2,8,89803,32467,3.5
kane county,utah,8525,5.3,22,24.5,93.7,1.1,1.9,1.1,0.1,5.6,81.7,350900,2.4,3.5,94.7,32.1,9.8,75000,38369,1.9
millard county,utah,13572,6.8,29.8,18.1,92.9,0.7,2.3,1.6,0.3,14,78.4,246400,3,12,91.3,23.1,15.2,70877,27109,1.9
morgan county,utah,13093,5.2,31,13.1,97,0.5,0.4,0.7,0.1,3.1,90.2,600900,3.5,4.3,97.6,38.8,6.3,126092,43194,20.2
piute county,utah,1534,5,19.5,29.5,96,0.3,0.8,0.5,0.1,8.7,92.6,235400,3,5,85.6,19,13.2,44650,23171,1.9
