county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
emmet county,iowa,19.3,24.6,77.7,106200,2.2,7.5,15.7,8.1,36957,23.7,19.1,43.9,6.4,10.7,Medium Risk: Older White Homeowner Communities
fayette county,iowa,21.1,24,77,130800,2.3,2.8,18.2,5.8,32982,26.7,16.4,45.1,5,3.4,Medium Risk: Older White Homeowner Communities
floyd county,iowa,22.7,23.5,74.4,133300,2.3,4.3,18.5,5.5,36221,31.2,16,46.2,6.5,4.2,Medium Risk: Older White Homeowner Communities
franklin county,iowa,24.3,23,72.5,118500,2.4,15,18.2,7.1,32451,17.2,11.4,47.3,5.3,17.4,Medium Risk: Older White Homeowner Communities
fremont county,iowa,21.7,25.3,80.8,147500,2.3,2.1,21.1,5.2,39761,12.9,14.9,47,4.1,3.7,Medium Risk: Older White Homeowner Communities
greene county,iowa,22.1,25.1,74.3,140500,2.2,3,19.8,5.9,36237,15.4,16.9,47.2,4,4.2,Medium Risk: Older White Homeowner Communities
grundy county,iowa,23.5,21.7,84,180500,2.4,1.7,24.7,4.4,39565,24.6,11.1,45.2,3.2,2.4,Medium Risk: Older White Homeowner Communities
guthrie county,iowa,20.8,25.1,83.5,163900,2.3,2.1,24.3,6.2,42898,18,11.2,45.9,4.1,3.7,Medium Risk: Older White Homeowner Communities
hamilton county,iowa,23.7,21.9,73.8,132300,2.3,10.2,22,6.6,38075,26.1,13,45.6,7,10.9,Medium Risk: Older White Homeowner Communities
hancock county,iowa,21.7,24.8,82,129300,2.3,4,21.4,6.3,36756,18.9,13.6,46.5,3.6,6.2,Medium Risk: Older White Homeowner Communities
hardin county,iowa,18.6,24.7,73.3,113000,2.3,4.7,21.2,6.7,33765,29.6,14.1,43.3,5.7,6.4,Medium Risk: Older White Homeowner Communities
harrison county,iowa,22.9,21.3,76.9,165300,2.4,1.1,21.2,5.5,39369,20.9,12.2,44.2,2.8,2.6,Medium Risk: Older White Homeowner Communities
henry county,iowa,20.8,21.4,74,148600,2.4,5,22.5,6.2,31084,47.2,15,42.2,7.5,5.8,Medium Risk: Older White Homeowner Communities
howard county,iowa,24.6,21.4,76.6,133900,2.5,8.8,18.7,7.4,33190,20,10.7,46,3.5,3.9,Medium Risk: Older White Homeowner Communities
humboldt county,iowa,23.8,22.9,75,146900,2.2,5.2,19.3,6.2,38775,22.1,14.7,46.7,3.7,7,Medium Risk: Older White Homeowner Communities
ida county,iowa,24.4,23,77.6,108800,2.3,3.3,20.7,5.4,35471,16.2,13,47.4,3.8,4.4,Medium Risk: Older White Homeowner Communities
iowa county,iowa,23.4,21.3,76.1,189800,2.4,2.2,24.2,4.9,39363,28.4,13.7,44.7,3.2,3.7,Medium Risk: Older White Homeowner Communities
jackson county,iowa,21.9,23.2,78.6,170000,2.3,2.6,18.4,5.6,38325,30.6,12.3,45.1,4.5,1.7,Medium Risk: Older White Homeowner Communities
jasper county,iowa,21.7,20.5,74.8,176800,2.4,4.7,19.9,5.2,37380,51.8,14,42.2,5.5,3.4,Medium Risk: Older White Homeowner Communities
jefferson county,iowa,16.3,27.6,65.1,161200,2.1,12.5,41.6,8.2,35800,36,13.7,43.9,14.3,4,Medium Risk: Older White Homeowner Communities
johnson county,iowa,18.9,14.2,58.8,293100,2.4,15.5,54.6,6.1,44699,249.4,9.5,33.1,18.9,6.9,Low Risk: Educated Urban Communities
jones county,iowa,19.8,21.8,80.7,183400,2.4,2.4,20.7,5.3,35376,35.9,13.7,41.6,5.3,3,Medium Risk: Older White Homeowner Communities
keokuk county,iowa,22.2,23.6,78.9,112200,2.4,2.4,15.9,5.5,33181,17.3,16.4,45.8,3.1,2.5,Medium Risk: Older White Homeowner Communities
kossuth county,iowa,21.9,26.1,75.3,135100,2.2,4.3,22.2,6.6,37180,15.2,14.2,48,4.1,4.9,Medium Risk: Older White Homeowner Communities
lee county,iowa,21.3,22.8,75.5,123600,2.2,1.7,21,5.5,32537,64.8,16.7,44.1,6.5,3.6,Medium Risk: Older White Homeowner Communities
linn county,iowa,22.1,18.2,73.3,204400,2.4,6.9,34.8,4.8,42497,321.2,11.3,40.3,14.2,4.4,Low Risk: Educated Urban Communities
louisa county,iowa,21.1,21,80.1,137600,2.6,14.7,16.5,7.6,35747,27,15.6,42.1,7.4,16.8,Medium Risk: Older White Homeowner Communities
lucas county,iowa,24.1,23,81.1,117000,2.3,4.6,14.5,6,32962,20,16.7,47.1,3.1,3.3,Medium Risk: Older White Homeowner Communities
