county,state,youth_share,elderly_share,owneroccupied_units,medianval_ownerunits,pper_household,language_otherenglish,education_bachelorsorhigher,without_insuranceunder65,income_percapita,population_density,disability_prevalence,dependency_ratio,minority_share,hispanic_share,cluster
monroe county,missouri,21.8,25.1,75,147400,2.5,3.8,17.4,10.5,27776,13.4,15.5,46.9,6.8,2,Medium Risk: Older White Homeowner Communities
montgomery county,missouri,21.7,21.1,73.3,171300,2.4,2,16.5,12.6,29876,21.2,18.2,42.8,4.9,2.5,Medium Risk: Older White Homeowner Communities
morgan county,missouri,22.8,24.4,79.7,180400,2.6,7.7,14.9,18.5,30589,35.1,21.1,47.2,4.8,2.8,Medium Risk: Older White Homeowner Communities
new madrid county,missouri,23.5,20.4,63.6,105500,2.3,2.5,13.3,10.7,28435,24.4,19.8,43.9,20.4,2.1,Medium Risk: Older White Homeowner Communities
newton county,missouri,23.8,19.6,76.8,175300,2.6,6.9,23,11.4,32855,93.9,14.7,43.4,11.2,7.4,Medium Risk: Older White Homeowner Communities
nodaway county,missouri,17.1,19,62.3,165100,2.2,3.2,25.6,9.2,28894,24.2,12.6,36.1,6.3,2.5,Medium Risk: Older White Homeowner Communities
oregon county,missouri,23,23.4,76.7,117700,2.6,1.4,14.4,11.8,23220,10.9,23,46.4,5.7,2,Medium Risk: Older White Homeowner Communities
osage county,missouri,22.5,19.3,81.2,205700,2.5,0.7,24.8,7.8,41107,21.9,12.8,41.8,2.3,1.2,Medium Risk: Older White Homeowner Communities
ozark county,missouri,19.2,29.5,80.4,156400,2.4,1.9,12.4,14.2,29824,11.5,26.7,48.7,4.7,2.7,Medium Risk: Older White Homeowner Communities
pemiscot county,missouri,26.2,19.1,57.7,95900,2.4,3.9,12.8,10.8,26073,31.8,23,45.3,30.5,3.6,High Risk: Rural Minority Communities
perry county,missouri,21.8,20.9,77.6,189400,2.5,4,22.1,10.3,32616,40,15.1,42.7,4.3,2.7,Medium Risk: Older White Homeowner Communities
pettis county,missouri,24.7,18.2,70.1,161500,2.5,11.9,18.6,11.8,30954,63,17.3,42.9,9.2,10.6,Medium Risk: Older White Homeowner Communities
phelps county,missouri,20.9,18.1,61.9,194900,2.4,5.4,31.5,10.5,29191,66.4,16.2,39,10.7,3.4,Medium Risk: Older White Homeowner Communities
pike county,missouri,22.4,19.8,73.3,129400,2.5,3.4,16.6,11.2,27443,26.2,15.9,42.2,9.2,2.6,Medium Risk: Older White Homeowner Communities
platte county,missouri,22.5,16.9,67,317600,2.5,8.3,45.6,6.2,49273,254.2,12.7,39.4,16.4,7.6,Low Risk: Educated Urban Communities
polk county,missouri,22.8,19,71.3,189600,2.6,4.1,21,11.5,28199,49.6,16.5,41.8,5.2,3.4,Medium Risk: Older White Homeowner Communities
pulaski county,missouri,21.7,10.1,59.4,189700,2.7,11.3,27.9,8.7,29250,98.6,17.4,31.8,21,11.5,Low Risk: Educated Urban Communities
putnam county,missouri,23.7,23.9,81.2,111600,2.5,3.6,19.3,9.3,33208,9,14,47.6,3.4,3.1,Medium Risk: Older White Homeowner Communities
ralls county,missouri,20.3,23.9,86.1,153400,2.6,1.6,17.5,8.7,31075,22,16,44.2,4.2,1.3,Medium Risk: Older White Homeowner Communities
randolph county,missouri,22.2,17.8,70.4,141900,2.4,2.2,17.1,9.8,27268,51.2,18.5,40,9.5,2.8,Medium Risk: Older White Homeowner Communities
ray county,missouri,22.8,20.1,77.5,187400,2.5,2.1,15,9.8,38179,40.7,14.5,42.9,5,3.1,Medium Risk: Older White Homeowner Communities
reynolds county,missouri,18.9,25.3,80.7,119900,2.5,0.6,15.4,11.6,26576,7.5,27.4,44.2,6.3,1.8,Medium Risk: Older White Homeowner Communities
ripley county,missouri,24.5,19.7,78.9,110800,2.6,1.1,12.9,11.6,23691,17,24.1,44.2,5.3,2,Medium Risk: Older White Homeowner Communities
st. charles county,missouri,21.9,18.1,80.5,320800,2.5,5.8,42.7,5.1,51051,723,11.1,40,13.2,4.5,Low Risk: Educated Urban Communities
st. clair county, missouri,21.3,25.8,76,157100,2.3,2.4,14.7,11,29315,13.8,22.8,47.1,4.1,2.5,Medium Risk: Older White Homeowner Communities
st. francois county,missouri,20.5,17.9,68.2,169300,2.5,1.3,17.2,10.1,28659,148.1,21.4,38.4,6.9,2.1,Medium Risk: Older White Homeowner Communities
st. louis county,missouri,21.6,20.1,69.2,276800,2.4,10.5,47.4,6.7,51977,1977.1,11.8,41.7,33.6,4.1,Low Risk: Educated Urban Communities
st. louis city, missouri,17.8,16.8,45.3,197500,1.9,9.4,41.1,8.4,41187,4885,16.6,34.6,49.8,5.7,Low Risk: Educated Urban Communities
ste. genevieve county,missouri,21.1,22.6,83,222200,2.5,0.8,16.8,8.3,35520,37,16.8,43.7,4.4,1.6,Medium Risk: Older White Homeowner Communities
saline county,missouri,21.7,18.5,70.8,139600,2.7,9.3,26,9.9,28530,30.9,17.5,40.2,14.1,13.4,Medium Risk: Older White Homeowner Communities
schuyler county,missouri,27,19.9,79,118200,3.2,8,10.6,11,23774,13.1,19.3,46.9,2.9,1.6,Medium Risk: Older White Homeowner Communities
scotland county,missouri,29.7,19.9,83,141100,3,10.5,14.5,19.1,30417,10.8,11.5,49.6,2.7,1.1,Medium Risk: Older White Homeowner Communities
scott county,missouri,24,19.3,68.8,143700,2.5,2.6,21.7,10.1,32341,90.6,17.8,43.3,16,2.8,Medium Risk: Older White Homeowner Communities
shannon county,missouri,23.6,23.2,83.2,151000,2.5,1,14.6,11,25451,7,22.3,46.8,5.5,3,Medium Risk: Older White Homeowner Communities
shelby county,missouri,24.2,22.1,75,86200,2.4,1.7,18,12.1,28270,12.2,17.1,46.3,4.3,2.3,Medium Risk: Older White Homeowner Communities
stoddard county,missouri,22.1,20.9,70.7,135400,2.5,1.5,16.4,12.3,27411,34.8,21.5,43,4.1,2.5,Medium Risk: Older White Homeowner Communities
stone county,missouri,16.7,33.1,83.7,236500,2.4,2.3,23,11.4,33582,67,19.1,49.8,4.5,3.3,Medium Risk: Older White Homeowner Communities
sullivan county,missouri,21.5,22.7,73.8,103300,2.8,16.5,14.7,11.8,27916,9.3,14.3,44.2,8.1,18.8,Medium Risk: Older White Homeowner Communities
taney county,missouri,20.6,23.4,66.9,203800,2.5,6.8,25.4,12.4,31125,88.7,17,44,7.3,7.8,Medium Risk: Older White Homeowner Communities
texas county,missouri,21.5,21.8,76.5,123300,2.5,1.9,15.8,13.6,24570,20.8,25.5,43.3,7.7,2.7,Medium Risk: Older White Homeowner Communities
vernon county,missouri,23.8,21.1,72.6,136700,2.4,6.5,18,12.3,26360,23.8,18.7,44.9,5.4,3.1,Medium Risk: Older White Homeowner Communities
warren county,missouri,22.5,19.5,82.4,241200,2.7,3.2,19.6,9.5,36403,82.9,14.5,42,5.8,4.3,Medium Risk: Older White Homeowner Communities
washington county,missouri,22.6,18.8,76.3,118400,2.5,1.8,12.4,12.1,28855,30.9,23.7,41.4,5.5,1.4,Medium Risk: Older White Homeowner Communities
wayne county,missouri,20.1,25.3,76,113100,2.4,0.9,11,13.1,24091,14.5,29.1,45.4,4.8,1.6,Medium Risk: Older White Homeowner Communities
webster county,missouri,27.5,15.9,76.6,219100,2.8,6.4,18.6,13.1,29530,66,14.3,43.4,5,2.7,Medium Risk: Older White Homeowner Communities
worth county,missouri,20.1,27.2,77.8,94600,2.4,0.3,17.6,10.2,32793,7.4,22.8,47.3,3.3,1.9,Medium Risk: Older White Homeowner Communities
wright county,missouri,25.9,20,77.6,152300,2.7,4.2,14.3,13.1,23682,26.7,19.7,45.9,4.4,2.9,Medium Risk: Older White Homeowner Communities
yazoo county,mississippi,23.6,16.5,55.3,153800,2.31,5.6,15.3,14,21862,29,21,40.1,60.9,2.9,High Risk: Rural Minority Communities
yalobusha county,mississippi,21.4,22.8,69.3,122300,2.44,2.4,15.6,11.6,27106,26.7,20.9,44.2,40.9,1.9,High Risk: Rural Minority Communities
winston county,mississippi,21.5,22.8,73,124600,2.4,1.6,19.7,13,31301,29.2,23.9,44.3,49.6,1.9,High Risk: Rural Minority Communities
wilkinson county,mississippi,19.1,21.2,78.4,90000,2.23,0.8,8.8,12.7,20764,12.7,20.5,40.3,70.3,1.5,High Risk: Rural Minority Communities
webster county,mississippi,24.2,18.3,76.1,120100,2.42,1.2,20.9,13.2,28753,23.6,22.4,42.5,20.5,2.2,Medium Risk: Older White Homeowner Communities
wayne county,mississippi,24.9,19.1,85.3,91100,2.55,2.8,16,15.2,25879,24.4,19,44,42.4,2,High Risk: Rural Minority Communities
washington county,mississippi,25.5,18.9,60.2,104000,2.45,2.5,22.4,12.8,25149,62,24.7,44.4,75.4,1.7,High Risk: Rural Minority Communities
warren county,mississippi,23.2,19.8,69.9,156400,2.53,3.9,28.8,10.7,34305,76,20,43,52.3,2.3,High Risk: Rural Minority Communities
walthall county,mississippi,22.3,21.7,80.3,126600,2.59,2.6,12.9,16.6,29325,34.4,21.1,44,45.5,2.2,High Risk: Rural Minority Communities
union county,mississippi,24.4,17.3,74.7,163400,2.83,3.7,19.1,15.4,28013,66.8,19.5,41.7,19.5,5,High Risk: Rural Minority Communities
tunica county,mississippi,27.1,15.4,39.5,175900,2.47,2.7,13.7,11.5,23927,21.5,10.7,42.5,80.7,2.6,High Risk: Rural Minority Communities
tishomingo county,mississippi,21.3,21.2,79.5,145100,2.08,2.6,17.8,14.8,30989,44.4,20.9,42.5,5.3,3.7,Medium Risk: Older White Homeowner Communities
tippah county,mississippi,23.2,17.9,74.8,124100,2.6,4.4,17.9,15,28432,47.6,20,41.1,19.4,5.8,High Risk: Rural Minority Communities
tate county,mississippi,21.6,17.7,76,209000,2.43,2.9,23.6,13.9,32011,69.3,15.3,39.3,32.7,3.6,High Risk: Rural Minority Communities
tallahatchie county,mississippi,20.5,19.6,64.5,82300,2.6,1.9,11.7,13.6,22562,19.7,16.6,40.1,60.1,2.8,High Risk: Rural Minority Communities
sunflower county,mississippi,21.6,16,54.9,100300,2.64,2.5,16,12.9,21138,37.2,15.1,37.6,75.3,3.3,High Risk: Rural Minority Communities
stone county,mississippi,20.9,18,80.7,161100,2.72,1.4,17.2,15.6,27312,41.2,21.2,38.9,21.6,3,High Risk: Rural Minority Communities
smith county,mississippi,22.8,21.9,87.4,112600,2.5,2.7,15.6,13.8,29605,22.3,20,44.7,25.9,1.8,High Risk: Rural Minority Communities
simpson county,mississippi,22.9,20.1,81.4,122200,2.64,1.9,16.7,14.6,28849,44,21.1,43,37.8,1.8,High Risk: Rural Minority Communities
sharkey county,mississippi,23.4,22.6,66.5,98000,2.63,0.1,16.1,12.2,21927,8.8,15.4,46,75.6,2.7,High Risk: Rural Minority Communities
scott county,mississippi,28.1,16.3,71.3,106700,2.84,13.2,13.5,16.2,23846,45.9,18,44.4,40.9,16.5,High Risk: Rural Minority Communities
rankin county,mississippi,21.9,17.6,76.8,237400,2.56,4.8,33.5,9.6,38935,202.5,14.3,39.5,26.6,3.6,Low Risk: Educated Urban Communities
quitman county,mississippi,23.4,18.3,64.7,69600,2.13,0.7,17.1,12.9,22429,15.2,18.6,41.7,75.6,0.6,High Risk: Rural Minority Communities
prentiss county,mississippi,22,17.9,77.5,122500,2.51,2.1,19.7,13.4,28808,60.3,17.5,39.9,18.8,1.6,Medium Risk: Older White Homeowner Communities
pontotoc county,mississippi,25.5,15.9,69.8,157100,2.65,6.6,18.5,14,27826,62.6,18.6,41.4,19.9,7.8,High Risk: Rural Minority Communities
pike county,mississippi,25,18.7,66.8,110800,2.56,1.7,15.3,14.4,24223,98.5,18.5,43.7,57.8,1.8,High Risk: Rural Minority Communities
perry county,mississippi,21.8,20.6,81.5,124000,2.44,3.2,12.9,13.7,27110,17.8,29.1,42.4,21.1,2.2,Medium Risk: Older White Homeowner Communities
pearl river county,mississippi,23,20.1,80.4,182300,2.57,3,17,13.7,29524,69.2,20.7,43.1,15.6,4.7,Medium Risk: Older White Homeowner Communities
panola county,mississippi,24.2,18.5,71.1,127800,2.63,2.2,17.7,13.4,27008,48.5,17.4,42.7,51.8,2.2,High Risk: Rural Minority Communities
oktibbeha county,mississippi,17.5,12.8,48,237700,2.1,4.8,47,10.8,30700,113,12.1,30.3,43.6,2.5,Low Risk: Educated Urban Communities
noxubee county,mississippi,24.9,19.1,73,90800,2.49,2.6,10.6,15.7,22985,14.8,25.3,44,72.8,2,High Risk: Rural Minority Communities
newton county,mississippi,24.5,17.7,79.1,106300,2.62,5.8,19.3,11.8,28694,36.9,21.5,42.2,39.3,2.1,High Risk: Rural Minority Communities
neshoba county,mississippi,27.1,17,78.1,100000,2.77,9.4,17.7,12.8,26732,51,17.6,44.1,42,2.1,High Risk: Rural Minority Communities
montgomery county,mississippi,22.2,22.8,75.8,126800,2.29,0.6,19.4,14.7,28744,24.1,16.9,45,47,1.7,High Risk: Rural Minority Communities
monroe county,mississippi,22.1,21.2,76.3,120800,2.39,1.9,16.4,12.3,29127,44.7,13.7,43.3,32.5,1.7,High Risk: Rural Minority Communities
marshall county,mississippi,20.5,19.8,79.1,167900,2.44,5.4,14.6,12.3,28455,47.8,22.7,40.3,47.1,5.9,High Risk: Rural Minority Communities
marion county,mississippi,22.6,19.5,77.2,122800,2.58,2,13.7,14.2,25415,45.1,21.5,42.1,33.7,2.1,High Risk: Rural Minority Communities
madison county,mississippi,23.8,16.3,71.3,311100,2.5,6.9,49.6,9.3,48905,152.8,11.2,40.1,43.3,4.1,Low Risk: Educated Urban Communities
lowndes county,mississippi,23.6,18.3,61.3,164100,2.45,3,28.1,12.2,30143,116.5,12.5,41.9,48.8,2.4,High Risk: Rural Minority Communities
lincoln county,mississippi,22.6,18.8,74.9,155800,2.61,1,19.3,12.5,28628,59.5,15.2,41.4,32.1,1.4,High Risk: Rural Minority Communities
leflore county,mississippi,26.6,15.9,52.4,101200,2.56,2.8,21.2,12.7,22600,47.7,16.1,42.5,77.1,3.6,High Risk: Rural Minority Communities
lee county,mississippi,24.4,16.4,70.8,199500,2.51,4.3,28.6,11.3,34728,185.2,14.2,40.8,34.9,3.7,High Risk: Rural Minority Communities
leake county,mississippi,23.6,18.5,76.7,116800,2.82,10,15.7,15.4,26316,36.5,19.5,42.1,48.8,7.8,High Risk: Rural Minority Communities
lawrence county,mississippi,23.8,20.4,83.5,100000,2.66,2.1,13.2,13.4,26221,27.9,28.2,44.2,34.6,2.3,High Risk: Rural Minority Communities
lauderdale county,mississippi,22.9,19.6,65.1,133300,2.39,3.8,23.6,12.6,28930,103.7,17.9,42.5,47.7,2.7,High Risk: Rural Minority Communities
lamar county,mississippi,23.7,16.3,69.5,224700,2.58,3.9,34.5,11.6,39058,129.3,15.1,40,26.8,3.7,Low Risk: Educated Urban Communities
lafayette county,mississippi,17.8,14.4,63.8,315400,2.75,4.2,46.5,12.4,36403,88.4,10.8,32.2,28,3.8,Low Risk: Educated Urban Communities
kemper county,mississippi,17.4,23.3,79,99600,2.47,3,18.6,12.7,23498,11.7,23.5,40.7,66.5,1.1,High Risk: Rural Minority Communities
jones county,mississippi,24.7,18.7,75.1,143100,2.6,5.4,20.7,13.6,29510,96.8,16.7,43.4,31.9,6.5,High Risk: Rural Minority Communities
jefferson davis county,mississippi,20.1,25.7,84.5,90100,2.47,1,12.7,12.7,24694,27.7,23.4,45.8,61.1,1.3,High Risk: Rural Minority Communities
jefferson county,mississippi,21.7,21.3,82.9,81300,2.69,1.3,13.4,13.6,22659,14,14.8,43,85.9,1.1,High Risk: Rural Minority Communities
jasper county,mississippi,22.9,22,82.1,107100,2.4,0.3,12.2,12.3,25961,24.2,22.2,44.9,54.2,1.7,High Risk: Rural Minority Communities
jackson county,mississippi,22.4,18.2,72.7,193100,2.5,6.8,26.7,12.3,35389,198.2,21,40.6,26.9,8.2,High Risk: Rural Minority Communities
itawamba county,mississippi,21.1,17.8,79,142400,2.39,1,16,13,36855,44.8,13.9,38.9,10.3,1.9,Medium Risk: Older White Homeowner Communities
issaquena county,mississippi,6,15.2,66,110800,1.75,2.2,8.6,17.9,18718,3.2,36.9,21.2,64.1,8.5,High Risk: Rural Minority Communities
humphreys county,mississippi,24.5,20.3,61.7,87800,2.52,1.7,19.6,13.8,23712,18.6,27.1,44.8,79.2,1.4,High Risk: Rural Minority Communities
holmes county,mississippi,23.8,17.9,61,80400,2.49,0.7,13.9,12.1,22845,22.5,33.3,41.7,84.1,1.1,High Risk: Rural Minority Communities
hinds county,mississippi,23,17.5,58.3,159900,2.34,3.4,31.2,12.9,29530,261.8,15,40.5,75.4,2.4,High Risk: Rural Minority Communities
harrison county,mississippi,23,17.6,62.2,212200,2.48,7.3,27.5,13.1,33062,363.7,19.2,40.6,33,7.4,High Risk: Rural Minority Communities
hancock county,mississippi,18.8,23.9,79.2,224200,2.27,3.8,26.8,10.8,39800,97.2,18.8,42.7,12.8,4.3,Medium Risk: Older White Homeowner Communities
grenada county,mississippi,24,19.6,66.6,132200,2.47,2.9,21.8,12.1,28048,51.2,20.8,43.6,46.4,1.5,High Risk: Rural Minority Communities
greene county,mississippi,18.4,16.7,82.2,92700,2.51,1.6,10.5,11.3,20638,19,25.3,35.1,27.8,1.7,High Risk: Rural Minority Communities
george county,mississippi,26.3,15.4,82.1,166900,2.64,1.9,17.5,14.2,28843,50.9,20.8,41.7,10.6,3.4,Medium Risk: Older White Homeowner Communities
franklin county,mississippi,23,22.1,81.7,101900,2.45,0.2,19,13.3,33131,13.6,22.5,45.1,36.4,1.5,High Risk: Rural Minority Communities
forrest county,mississippi,22.5,14.3,57.2,168000,2.45,3.9,30.6,12.8,31103,167.7,19.5,36.8,40.5,4.6,High Risk: Rural Minority Communities
desoto county,mississippi,24.3,13.9,77.9,269600,2.68,6.2,29,10.2,38113,389,12.3,38.2,40.5,6.1,Low Risk: Educated Urban Communities
covington county,mississippi,24.4,17.7,77.5,105100,2.44,2.5,17.4,14.3,27839,44.3,17,42.1,38.8,2.7,High Risk: Rural Minority Communities
copiah county,mississippi,22.2,20.5,74.4,114100,2.66,3.8,19.7,12.4,28882,36.5,15.4,42.7,53.2,5.7,High Risk: Rural Minority Communities
coahoma county,mississippi,26.4,17.3,52.1,90300,2.37,2.7,19.5,13.9,22797,38.7,14.9,43.7,77.7,5,High Risk: Rural Minority Communities
clay county,mississippi,22.3,20.5,71.3,129100,2.32,0.5,17.3,12.8,27385,45.4,11.4,42.8,62.1,1.3,High Risk: Rural Minority Communities
clarke county,mississippi,21.5,23.4,82.3,118100,2.55,1.9,17.5,12,27462,22.6,24.3,44.9,36.6,1.2,High Risk: Rural Minority Communities
claiborne county,mississippi,22.9,19.8,76.5,82700,2.5,1,18.1,12.1,19888,18.7,11.6,42.7,87.6,1.6,High Risk: Rural Minority Communities
choctaw county,mississippi,21.6,23.7,79.4,117200,2.28,1.5,20.1,11.3,26576,19.7,23.3,45.3,31.1,2.1,High Risk: Rural Minority Communities
chickasaw county,mississippi,25,18.9,70.3,109800,2.47,1.9,12,15.5,23189,34.1,16.2,43.9,47.4,4.2,High Risk: Rural Minority Communities
carroll county,mississippi,16.5,26.2,83.7,109600,2.17,1.2,21.2,14.9,34198,15.9,19.8,42.7,35.6,2,High Risk: Rural Minority Communities
calhoun county,mississippi,21.8,21.8,72,90300,2.25,4,12.1,16,25415,22.6,22.4,43.6,30.8,7,High Risk: Rural Minority Communities
bolivar county,mississippi,24.6,18.1,62.6,130000,2.35,3,28,12.3,25454,35.4,18.6,42.7,66.4,2.8,High Risk: Rural Minority Communities
benton county,mississippi,20.7,21.4,86,105100,2.44,5.9,12.8,14.9,25190,18.8,23.3,42.1,37.2,2.9,High Risk: Rural Minority Communities
attala county,mississippi,25,20,75.3,104600,2.59,1.2,19.8,11.8,31953,24.3,17.4,45,46.7,2.3,High Risk: Rural Minority Communities
amite county,mississippi,19.9,27.4,82.4,100800,2.13,0.7,11.2,14,24724,17.4,27.3,47.3,40.3,1.5,High Risk: Rural Minority Communities
alcorn county,mississippi,22,19.6,67.8,142100,2.32,3.7,18.6,12.6,28486,86.8,22.4,41.6,15.5,4,Medium Risk: Older White Homeowner Communities
adams county,mississippi,19.4,22.7,68.1,108700,2.36,6.5,20.6,14.3,27252,63.9,15.4,42.1,60.6,3.5,High Risk: Rural Minority Communities
aitkin county,minnesota,15.1,35.5,85.3,235100,2.3,1.5,19,6.7,35185,8.6,20.2,50.6,5.3,1.6,Medium Risk: Older White Homeowner Communities
anoka county,minnesota,23.2,16.5,80,325800,2.7,13.7,31.7,4.7,44418,862.4,9.9,39.7,21.4,6.3,Low Risk: Educated Urban Communities
becker county,minnesota,22.5,24,77.8,266900,2.4,3.1,27.5,6.2,40834,26.8,14.5,46.5,12.6,2.3,Medium Risk: Older White Homeowner Communities
beltrami county,minnesota,24,18.4,69.5,222300,2.5,4.8,32.3,7.4,34429,18.5,14.9,42.4,27.4,2.7,Medium Risk: Older White Homeowner Communities
benton county,minnesota,24.5,14.9,67.9,247100,2.5,5.1,24.5,5.7,36935,101.3,12.2,39.4,10.8,4,Medium Risk: Older White Homeowner Communities
big stone county,minnesota,22.2,27.4,79.4,135700,2.3,3.6,21.3,4.6,36923,10.3,13.8,49.6,4,3.1,Medium Risk: Older White Homeowner Communities
blue earth county,minnesota,19.3,15.8,61.8,252800,2.4,7.9,34.5,6.5,36299,92.4,11,35.1,11.8,5.1,Low Risk: Educated Urban Communities
brown county,minnesota,21.9,23.1,79.4,181700,2.3,4.9,24.2,5.3,36580,42.4,11.4,45,3.2,5.8,Medium Risk: Older White Homeowner Communities
carlton county,minnesota,20.9,19.3,79.4,232000,2.4,3.3,25.5,5,37608,42,15.6,40.2,11.5,2.2,Medium Risk: Older White Homeowner Communities
carver county,minnesota,24.2,15.9,81.7,426900,2.7,7.9,50.5,3.2,58254,302,8.4,40.1,9.3,5.4,Low Risk: Educated Urban Communities
cass county,minnesota,19.3,28.5,84.9,262300,2.4,3.5,25.4,7.3,36470,14.9,15.4,47.8,15.1,2.1,Medium Risk: Older White Homeowner Communities
chippewa county,minnesota,25,22.1,71.4,149000,2.3,9,19.6,7.2,35205,21.7,13.6,47.1,9.4,12,Medium Risk: Older White Homeowner Communities
chisago county,minnesota,21.8,18.5,85.6,326600,2.6,3.7,24,4.1,43265,136.5,11.2,40.3,7,3,Medium Risk: Older White Homeowner Communities
clay county,minnesota,24,14.5,66.6,256000,2.4,7.7,39,4.7,38791,62.5,12.2,38.5,12.9,5.2,Low Risk: Educated Urban Communities
clearwater county,minnesota,24.4,22.1,81.1,177100,2.6,6.3,18.3,7.6,32682,8.5,17.1,46.5,14.9,1.1,Medium Risk: Older White Homeowner Communities
cook county,minnesota,14.4,32.6,79.6,294000,2.1,4.9,45.6,5.3,45390,3.9,13.2,47,15.3,3.8,Medium Risk: Older White Homeowner Communities
cottonwood county,minnesota,25.5,23.8,76.1,154000,2.4,9.4,22.9,7.1,34105,18,12.3,49.3,11.5,12.9,Medium Risk: Older White Homeowner Communities
crow wing county,minnesota,19.8,25.7,77.4,274400,2.3,2,28.6,6.1,40308,66.2,15.4,45.5,4.7,1.8,Medium Risk: Older White Homeowner Communities
dakota county,minnesota,23.5,16.9,75.4,362100,2.6,13.2,44.6,4.4,50901,782,10.3,40.4,20.1,9.1,Low Risk: Educated Urban Communities
dodge county,minnesota,24.3,17.1,87.7,267500,2.6,6,29.7,4.6,43903,47.5,10.3,41.4,4.8,5.7,Medium Risk: Older White Homeowner Communities
douglas county,minnesota,21.1,25.5,76.4,291700,2.2,2.2,29,5.4,43543,61.2,11.8,46.6,3.4,2.5,Medium Risk: Older White Homeowner Communities
faribault county,minnesota,21.6,24.7,78,120200,2.2,5.4,21.6,6.7,36782,19.5,13.5,46.3,4.4,8.4,Medium Risk: Older White Homeowner Communities
fillmore county,minnesota,24,22.8,82.4,204000,2.4,5.2,23.7,8.8,37134,24.6,11,46.8,3.1,2.2,Medium Risk: Older White Homeowner Communities
freeborn county,minnesota,21.2,24.7,79.3,164900,2.3,8.4,18.1,7.6,38696,43.7,13.6,45.9,8.7,11.2,Medium Risk: Older White Homeowner Communities
goodhue county,minnesota,21.4,22,78,269400,2.4,3.7,27.9,5.7,42254,62.9,10.9,43.4,6,4.5,Medium Risk: Older White Homeowner Communities
grant county,minnesota,23.3,23.8,79,178600,2.4,3.1,19.1,6,38893,11.1,14.9,47.1,4.4,3,Medium Risk: Older White Homeowner Communities
hennepin county,minnesota,21.2,16.6,63,376500,2.3,18.1,53.3,4.8,57633,2313.1,10.3,37.8,27.9,8,Low Risk: Educated Urban Communities
houston county,minnesota,20.2,24.9,84.1,226300,2.3,3.5,28,4.6,41820,34.1,11,45.1,4,1.6,Medium Risk: Older White Homeowner Communities
hubbard county,minnesota,19.7,28.2,82.6,255900,2.4,3,30.5,6.8,38262,23,14.5,47.9,6.4,2.9,Medium Risk: Older White Homeowner Communities
isanti county,minnesota,22.7,18.3,83.8,283200,2.6,3.2,19.6,5.8,40123,94.4,12.7,41,7,3,Medium Risk: Older White Homeowner Communities
itasca county,minnesota,19.7,26.8,81.9,212000,2.4,2.2,25.1,6.1,36315,16.9,17.9,46.5,7.5,1.7,Medium Risk: Older White Homeowner Communities
jackson county,minnesota,20.6,24.9,81.3,145400,2.2,4.9,24.9,5.3,39494,14.2,14.4,45.5,6,5.6,Medium Risk: Older White Homeowner Communities
kanabec county,minnesota,20.9,23.1,83.8,221100,2.5,2.8,15.8,6.4,35290,30.7,16,44,5.2,2,Medium Risk: Older White Homeowner Communities
kandiyohi county,minnesota,24.4,21.1,72.1,230500,2.4,13.7,27.1,8.6,37618,54.8,14.1,45.5,10.3,16.3,Medium Risk: Older White Homeowner Communities
kittson county,minnesota,22,26.4,82.4,134400,2.2,5.1,28,4.1,37697,3.8,10.8,48.4,4.9,3.2,Medium Risk: Older White Homeowner Communities
koochiching county,minnesota,17.4,29.5,82,143700,2,2.3,20.3,5.7,40221,3.9,19.2,46.9,6.7,1.7,Medium Risk: Older White Homeowner Communities
lac qui parle county,minnesota,21.7,28.7,83,143400,2.3,3.5,22.1,5.6,40282,8.8,15.3,50.4,4.4,4.2,Medium Risk: Older White Homeowner Communities
lake county,minnesota,18.4,29.5,84,222900,2.1,1.4,25.8,6,40666,5.2,15.9,47.9,4.1,1.7,Medium Risk: Older White Homeowner Communities
lake of the woods county,minnesota,18.6,28.5,84.3,215000,2.3,1.9,21.4,5.7,39814,2.9,13.1,47.1,6.8,2,Medium Risk: Older White Homeowner Communities
le sueur county,minnesota,22.5,19.7,81,287700,2.5,6.2,25.4,5.4,43236,63.9,11.9,42.2,4.2,7.4,Medium Risk: Older White Homeowner Communities
lincoln county,minnesota,22.4,25.5,82.1,152200,2.2,2.2,24.4,5.9,38390,10.5,14,47.9,3.4,3.1,Medium Risk: Older White Homeowner Communities
lyon county,minnesota,25.9,18.7,70.5,193100,2.5,10.2,28.6,6.2,37201,35.4,12.8,44.6,11.7,9,Medium Risk: Older White Homeowner Communities
mahnomen county,minnesota,31.1,18.6,72.5,146500,2.8,10.6,14.3,7.6,25533,9.7,16.8,49.7,53.4,4.6,High Risk: Rural Minority Communities
marshall county,minnesota,22.7,24.5,85.2,153300,2.4,4.3,18.9,5.7,36889,5.1,13.1,47.2,3.9,5.1,Medium Risk: Older White Homeowner Communities
martin county,minnesota,22.9,25.5,72.4,158800,2.2,5.7,23.8,5.4,37466,28.1,16.5,48.4,4.6,8,Medium Risk: Older White Homeowner Communities
mcleod county,minnesota,21.3,21,77.8,233400,2.4,5.9,19.6,5.1,41336,74.8,13.3,42.3,4.1,8.2,Medium Risk: Older White Homeowner Communities
meeker county,minnesota,23.2,22.3,81,228900,2.5,2.6,20.4,5.6,37014,38.5,12.3,45.5,3.3,5,Medium Risk: Older White Homeowner Communities
